Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C14, C15, C16, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C29, C30, C33, C4, C40, C41, C42, C43, C45, C46, C47, C49, C59, C9",0603,29,100nF,C77055
"C10, C28, C31, C32, C37, C39, C44, C5",0603,8,2.2uF,C77047
"C11, C12",0603,2,68pF,C513699
"C17, C18",0603,2,10uF,C85713
"C3, C36, C38, C8",0805,4,22uF,C2178186
C34,0603,1,22pF,C326840
C35,0603,1,15pF,C1644
C48,0603,1,1.0uF,C29936
C50,0603,1,22nF,C21122
"C51, C52, C53, C54, C55, C56, C57, C58",0603,8,10nF,C100042
"C6, C7",0603,2,680pF,C30816
D1,0805,1,7V5,C84256
"D10, D11, D8, D9",SOT-23,4,MMBZ15VALT1G,C604793
D2,0805,1,5V,C84256
D3,0805,1,3V3,C84256
D5,0805,1,GPLED,C2296
D6,0805,1,μCLED,C2296
D7,0805,1,PILED,C2296
FB1,0805,1,BLM21BD272SN1L,C85839
J1,PinHeader_2x20_P2.54mm_Vertical,1,Spacecraft Bus Stacking Connector,
J10,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,SW1,
J11,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,SW2,
J12,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,SW3,
J13,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,PISW1,
J14,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,μSW1,
J15,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,μSW2,
J16,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,μSW3,
J17,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,μSW4,
J2,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,1,I2CExt,
J3,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,DAC1BUF,
J4,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,DAC2BUF,
J6,RPI02W,1,Raspberry Pi Zero 2W,
J7,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,ADC6/7,
J8,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,ADC2/3,
J9,JST_PHD_B8B-PHDSS_2x04_P2.00mm_Vertical,1,4FBRG,
J99,PinHeader_1x02_P2.00mm_Horizontal,1,RBFJUMP,
L1,L_Vishay_IHLP-2020,1,4.7uH,C844991
"Q1, Q4, Q5, Q7",SOT-23,4,PMBT2222A,C23869 
"Q10, Q11, Q14, Q15, Q18, Q19, Q22, Q23",SOT-363_SC-70-6,8,"BSS138PS,115",C193381
"Q12, Q13, Q16, Q17, Q20, Q21, Q24, Q26, Q28, Q3, Q30, Q8, Q9",SOT-363_SC-70-6,13,MBT2222ADW1T1,C157366
"Q2, Q6",SOIC-8_3.9x4.9mm_P1.27mm,2,IRF9393,C520642
"Q25, Q27, Q29, Q31",SOIC-8_3.9x4.9mm_P1.27mm,4,IRF7306,C537809 
"R1, R47",2010,2,200m 1W,C2073579
"R10, R13, R22, R4, R45, R6",0603,6,5.6k,C416722
"R100, R101, R102, R103, R19, R31, R32, R39, R49, R51, R58, R59, R68, R69, R78, R79, R88, R89, R96, R97, R98, R99",0603,22,10k,C844918
"R11, R15, R16, R8",0603,4,0,C122704
"R12, R2, R23, R3, R9",0603,5,3.3k,C844928
"R14, R28",0603,2,1.5k,C844921
"R17, R54",0603,2,15k,C844742
"R18, R29, R30, R37, R38",0603,5,33,C844553
"R20, R21",0603,2,4.7k,C844931
"R24, R25, R26, R27, R33, R34, R35, R36, R40, R41, R42, R43",0603,12,DNP,
R44,0603,1,30k,C844774
"R5, R7",0603,2,9.1k,C491147
"R56, R57, R66, R67, R76, R77, R86, R87",0603,8,680,C23228
"R60, R61, R70, R71, R80, R81, R90, R91",0603,8,100k,C189597
"R62, R63, R72, R73, R82, R83, R92, R93",0603,8,200k,C118142
"R64, R65, R74, R75, R84, R85, R94, R95",0603,8,6.8k,C844805
"RN1, RN3, RN4, RN5, RN6, RN7, RN8, RN9",R_Array_Convex_4x0603,8,4.7k,C327044
RN2,R_Array_Convex_4x0603,1,1.5k,C723702
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,TS912,C73655
U2,MSOP-8_3x3mm_P0.65mm,1,ADR420ARMZ,C208143
"U3, U8",TO-252-2,2,KF33BDT,C283274 
U4,LQFP-64_10x10mm_P0.5mm,1,STM32L072R_B-Z_Tx,C915968
U5,TSOT-23-6,1,AP62301WU,C3194340
U6,HVQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,SC16IS750xBS,C2651891 
U7,TSSOP-16_4.4x5mm_P0.65mm,1,SC18IS606,C5190384
U9,QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm_ThermalVias,1,MAX22200,C2845158
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,14.7456MHz,C2450973
