Designator,Mid X,Mid Y,Rotation,Layer
C1,137.6,-128.3,270.0,bottom
C10,152.400001,-129.2735,0.0,bottom
C11,133.0,-135.9,90.0,bottom
C12,130.0,-132.7,90.0,bottom
C13,152.4,-98.075,180.0,bottom
C14,175.4,-100.7,270.0,bottom
C15,164.0,-92.275,90.0,bottom
C16,146.6,-90.875,180.0,bottom
C17,114.6,-131.1,0.0,bottom
C18,120.0,-136.91,0.0,bottom
C19,160.0,-81.275,180.0,bottom
C2,126.8,-135.9,270.0,bottom
C20,166.500002,-107.175,90.0,bottom
C21,132.425,-102.1,180.0,bottom
C22,146.6,-87.9,0.0,bottom
C23,146.6,-93.8,0.0,bottom
C24,112.2,-84.7,180.0,bottom
C25,108.025,-75.7,0.0,bottom
C26,118.4,-74.9,180.0,bottom
C27,108.025,-72.9,0.0,bottom
C28,145.225001,-126.2735,0.0,bottom
C29,150.000001,-137.2735,270.0,bottom
C3,107.4,-134.1,180.0,bottom
C30,146.6,-84.9,0.0,bottom
C31,148.800001,-126.2735,180.0,bottom
C32,146.625,-81.899998,0.0,bottom
C33,148.800001,-129.2735,0.0,bottom
C34,163.025,-103.5,0.0,bottom
C35,159.199998,-107.2,90.0,bottom
C36,118.6,-78.5,0.0,bottom
C37,123.8,-74.9,0.0,bottom
C38,136.27,-78.3,0.0,bottom
C39,128.725002,-60.7,0.0,bottom
C4,126.8,-129.1,90.0,bottom
C40,151.0,-60.5,180.0,bottom
C41,154.2,-60.5,180.0,bottom
C42,151.175,-71.1,0.0,bottom
C43,136.425,-75.1,180.0,bottom
C44,158.0,-64.9,90.0,bottom
C45,147.0,-66.5,270.0,bottom
C46,132.525002,-60.7,0.0,bottom
C47,144.625,-71.3,180.0,bottom
C48,154.775,-71.1,180.0,bottom
C49,136.300002,-60.7,0.0,bottom
C5,166.225,-132.7,0.0,bottom
C50,158.0,-68.3,90.0,bottom
C51,117.0,-68.1,0.0,bottom
C52,125.0,-68.1,180.0,bottom
C53,116.0,-95.3,0.0,bottom
C54,123.8,-95.3,180.0,bottom
C55,132.4,-95.3,0.0,bottom
C56,140.6,-95.3,180.0,bottom
C57,116.2,-109.3,180.0,bottom
C58,128.6,-102.1,180.0,bottom
C59,164.6,-99.475,90.0,bottom
C6,139.0,-132.7,90.0,bottom
C7,136.0,-132.7,270.0,bottom
C8,172.0,-103.5,270.0,bottom
C9,151.8,-81.275,0.0,bottom
D1,180.6,-145.5,90.0,bottom
D10,161.9375,-66.55,0.0,bottom
D11,162.0625,-61.7,0.0,bottom
D2,174.63,-145.5,90.0,bottom
D3,168.66,-145.5,90.0,bottom
D4,162.69,-145.5,90.0,bottom
D5,156.72,-145.5,90.0,bottom
D6,150.75,-145.5,90.0,bottom
D7,144.78,-145.5,90.0,bottom
D8,166.05,-72.2375,90.0,bottom
D9,161.8625,-71.3,0.0,bottom
FB1,141.737499,-84.899998,180.0,bottom
FID1,188.8,-61.3,0.0,top
FID2,103.8,-135.3,0.0,top
FID3,183.8,-139.3,0.0,top
FID4,104.8,-74.3,0.0,top
FID5,188.8,-61.3,0.0,bottom
FID6,183.8,-139.3,0.0,bottom
FID7,104.8,-74.3,0.0,bottom
FID8,103.8,-135.3,0.0,bottom
J10,192.4,-121.3,180.0,top
J11,192.4,-114.707142,180.0,top
J12,192.4,-108.114285,180.0,top
J13,192.4,-101.521428,180.0,top
J14,192.4,-94.928571,180.0,top
J15,192.4,-88.335714,180.0,top
J16,192.4,-81.742857,180.0,top
J17,192.4,-75.15,180.0,top
J2,132.0,-113.95,180.0,top
J3,113.05,-142.7,270.0,top
J4,119.25,-142.7,270.0,top
J6,160.8,-133.1,270.0,top
J7,183.05,-65.1,270.0,top
J8,175.85,-65.1,270.0,top
J9,168.4,-64.3225,90.0,top
J99,192.026597,-132.282474,130.0,bottom
L1,145.000001,-134.2735,90.0,bottom
Q1,178.8625,-140.45,180.0,bottom
Q10,117.0,-64.3,180.0,bottom
Q11,125.0,-64.3,180.0,bottom
Q12,112.2,-91.3,0.0,bottom
Q13,119.8,-91.3,0.0,bottom
Q14,116.0,-91.3,180.0,bottom
Q15,123.6,-91.3,180.0,bottom
Q16,128.425,-91.3,0.0,bottom
Q17,136.425,-91.3,0.0,bottom
Q18,132.425,-91.3,180.0,bottom
Q19,140.625,-91.3,180.0,bottom
Q2,171.925,-134.595,90.0,bottom
Q20,112.2,-105.7,0.0,bottom
Q21,120.4,-105.7,0.0,bottom
Q22,116.2,-105.7,180.0,bottom
Q23,124.4,-105.7,180.0,bottom
Q24,170.6,-128.3,90.0,bottom
Q25,183.8,-128.3,90.0,bottom
Q26,182.4,-105.72,90.0,bottom
Q27,184.6,-111.72,90.0,bottom
Q28,182.4,-93.675,90.0,bottom
Q29,184.2,-99.275,90.0,bottom
Q30,186.4,-78.46,90.0,bottom
Q31,184.2,-83.66,90.0,bottom
Q5,118.6,-83.1,0.0,bottom
Q6,130.0,-77.7,90.0,bottom
Q7,147.15,-61.5625,270.0,bottom
Q8,113.0,-64.3,0.0,bottom
Q9,121.0,-64.3,0.0,bottom
R1,167.9,-140.6,90.0,bottom
R10,111.2,-128.1,180.0,bottom
R100,179.0,-98.075,90.0,bottom
R101,179.0,-93.65,90.0,bottom
R102,179.0,-89.475,90.0,bottom
R103,179.0,-101.675,90.0,bottom
R11,123.2,-136.91,180.0,bottom
R12,123.6,-125.7,90.0,bottom
R13,126.8,-125.7,90.0,bottom
R14,146.6,-99.4,180.0,bottom
R15,111.2,-134.1,0.0,bottom
R16,116.8,-136.91,0.0,bottom
R17,145.2,-102.500001,0.0,bottom
R18,140.6,-128.3,90.0,bottom
R19,153.000001,-137.2735,270.0,bottom
R2,117.8,-125.7,270.0,bottom
R20,159.0,-98.075,180.0,bottom
R21,155.6,-98.075,0.0,bottom
R22,165.0,-141.8,270.0,bottom
R23,162.233332,-141.791667,270.0,bottom
R24,177.2,-75.1,0.0,bottom
R25,177.2,-78.1,180.0,bottom
R26,180.6,-75.1,0.0,bottom
R27,180.6,-78.1,180.0,bottom
R28,156.7,-141.816666,270.0,bottom
R29,177.2,-72.1,180.0,bottom
R3,120.6,-125.7,270.0,bottom
R30,180.6,-72.1,180.0,bottom
R31,132.425,-105.1,180.0,bottom
R32,148.825,-102.525001,0.0,bottom
R33,170.425,-78.1,180.0,bottom
R34,170.425,-75.1,0.0,bottom
R35,173.8,-78.1,0.0,bottom
R36,173.8,-75.1,180.0,bottom
R37,170.425,-72.1,0.0,bottom
R38,173.8,-72.1,180.0,bottom
R4,136.0,-135.9,270.0,bottom
R40,190.775,-145.9,0.0,bottom
R41,193.36,-62.1,180.0,bottom
R42,106.975,-138.099998,180.0,bottom
R43,106.275,-67.9,0.0,bottom
R44,155.200001,-134.3,270.0,bottom
R45,158.1,-134.3,270.0,bottom
R47,128.9,-83.5,0.0,bottom
R48,146.6,-96.5,0.0,bottom
R49,139.0,-71.3,0.0,bottom
R5,130.0,-135.9,270.0,bottom
R50,159.466666,-141.808333,270.0,bottom
R51,143.375,-60.7,180.0,bottom
R54,158.0,-61.3,90.0,bottom
R56,113.0,-68.1,180.0,bottom
R57,121.0,-68.1,180.0,bottom
R58,113.0,-71.1,180.0,bottom
R59,121.0,-71.1,180.0,bottom
R6,133.0,-132.7,270.0,bottom
R60,117.0,-71.1,180.0,bottom
R61,125.0,-71.1,180.0,bottom
R62,117.0,-60.7,180.0,bottom
R63,125.0,-60.7,180.0,bottom
R64,113.0,-60.7,180.0,bottom
R65,121.0,-60.7,180.0,bottom
R66,112.2,-95.3,180.0,bottom
R67,119.8,-95.3,180.0,bottom
R68,112.2,-98.1,180.0,bottom
R69,119.8,-98.1,180.0,bottom
R7,126.8,-132.7,90.0,bottom
R70,116.0,-98.1,180.0,bottom
R71,123.8,-98.1,180.0,bottom
R72,116.0,-87.9,180.0,bottom
R73,123.8,-87.9,180.0,bottom
R74,112.2,-87.9,180.0,bottom
R75,119.8,-87.9,180.0,bottom
R76,128.625,-95.3,180.0,bottom
R77,136.6,-95.3,180.0,bottom
R78,128.625,-98.1,180.0,bottom
R79,136.625,-98.1,180.0,bottom
R8,114.6,-134.1,0.0,bottom
R80,132.425,-98.1,180.0,bottom
R81,140.625,-98.1,180.0,bottom
R82,132.425,-87.9,180.0,bottom
R83,140.625,-87.9,0.0,bottom
R84,128.425,-87.9,180.0,bottom
R85,136.425,-87.9,180.0,bottom
R86,112.0,-109.3,180.0,bottom
R87,120.4,-109.3,180.0,bottom
R88,124.4,-109.3,180.0,bottom
R89,132.4,-109.3,180.0,bottom
R9,114.6,-128.1,0.0,bottom
R90,128.4,-109.3,180.0,bottom
R91,128.6,-105.1,180.0,bottom
R92,116.0,-102.1,0.0,bottom
R93,124.4,-102.1,0.0,bottom
R94,112.2,-102.1,180.0,bottom
R95,120.2,-102.1,180.0,bottom
R96,178.8,-129.5,90.0,bottom
R97,178.8,-126.1,90.0,bottom
R98,178.8,-111.72,90.0,bottom
R99,178.8,-108.12,270.0,bottom
RN1,173.6,-140.5,90.0,bottom
RN2,152.8,-141.475,180.0,bottom
RN4,174.4,-127.9,90.0,bottom
RN5,186.2,-105.52,90.0,bottom
RN6,186.2,-93.475,90.0,bottom
RN7,178.1,-84.5,90.0,bottom
RN8,144.7,-75.3,90.0,bottom
RN9,123.6,-79.3,270.0,bottom
TP1,155.1,-112.8,0.0,bottom
TP2,165.7,-87.9,180.0,bottom
