Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102",0603,2,8pF,C1882476
"C103, C104, C106, C107, C113, C114, C118, C119, C120, C301, C304, C407",0603,12,0.1uF,C1591
"C105, C108, C109, C111, C115, C116, C412, C415",0603,8,1uF,C59782
"C110, C112, C117, C404, C405, C413, C417, C421, C601",0603,9,10uF,C85713
"C201, C202, C203, C204",0603,4,10nF,C1589
C302,0603,1,150pF,C107038
"C303, C416",0603,2,4.7uF,C1705
"C305, C401, C402, C411, C419, C420",0603,6,22uF,C84419
"C403, C406",1210,2,100uF,C90143
C408,0603,1,2.2uF,C23630
C409,0603,1,22nF,C21122
"C410, C414",0603,2,3.3nF,C1613
C418,0603,1,47nF,C1622
D101,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1, WS2812B-B/W,C114586
D102,0805,1,RED,C142306
D402,0805,1,GREEN,C2297
D501,D_SOD-123,1,DFLS130L-7,C110493
"H101, H102, H103, H104",MountingHole_3.2mm_M3_DIN965_Pad,4,MountingHole_Pad,
J101,PinHeader_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,
J301,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0,C2988369
J302,Harwin_G125-FV104F3-02AB000P_P1.25mm_Vertical,1,Conn_High-Rel_4S2P_Vertical,
J303,PinHeader_1x06_P2.54mm_Horizontal,1,Conn_01x06,
J304,MMCX-6_UMPT-06-01-L-RA-WT-TR_P2.0mm,1,Conn_High-Rel_6P,
J305,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
"J602, J603, J604",SAMTEC_MMCXV-J-P-HF-ST-EM1,3,SMA RA Connector,
JP401,SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm,1,Jumper_3_Bridged12,
"JP501, JP502, JP503, JP504, JP505, JP506, JP507, JP508, JP509",CONN_22-11-2032_MOL,9,Conn_01x03,
L101,L_Sunlord_2.0x1.6mm,1,10uH,C370419
L401,L_TDK_1008_2.5x2.0mm,1,3.3uH,C404805
L402,TDK_1008_4.9x5.5mm,1,33uH,C2046704
L403,1008,1,1uH,C5247968
"Q201, Q202, Q205, Q206",SOT-363_SC-70-6,4,"BSS138PS,115",C193381
"Q203, Q204, Q207, Q208, Q401, Q402",SOT-363_SC-70-6,6,MBT2222ADW1T1,C157366
Q209,SOT-363_SC-70-6,1,"BC857BS,115",C8654
"Q403, Q502, Q503, Q504",SOT-23,4,IRLML2803,C2590
"Q404, Q505, Q506, Q507",SO-8_3.9x4.9mm_P1.27mm,4,IRF7406PbF,C169769
Q501,SOT-23,1,MMBT2222AT,C82460
R101,0603,1,680,
R102,0603,1,316K,C25814
R103,0603,1,110K,C137807
"R104, R105, R106, R108, R114, R205, R206, R207, R209, R215, R216, R217, R219, R301, R302, R402, R422, R426, R427, R430, R501, R502, R503, R504, R601, R602",0603,26,10k,C169849
"R107, R226, R423, R429, R505, R506, R507",0603,7,4.7k,C23162
"R109, R308",0603,2,150,C336847
"R110, R111, R112, R113",0603,4,DNI,
"R115, R116, R227, R228, R408",0603,5,1K,C844746
"R201, R202, R211, R212, R411, R413, R415, R416, R421, R508, R509, R510",0603,12,100K,C5369222
"R203, R204, R213, R214",0603,4,680,C112310
"R208, R210, R218, R220, R418",0603,5,200K,C473261
"R225, R305, R404",0603,3,0,C2654002
"R303, R304",0603,2,10, C138286
"R306, R307",0603,2,5.1k,C105580
R401,0603,1,107K,
"R403, R431",0603,2,3.3K,C108078
R405,0603,1,787K,C246008
R406,0603,1,121K,C861095
R407,2512,1,0.1,C165698
"R409, R410",0603,2,73.2K,C843966
R412,0603,1,22.1K,C137768
R414,0603,1,845K,C246013
R417,0603,1,20K,C105575
R419,0603,1,3.01K,C137732
R420,0603,1,2.1M,C2085910
R424,0603,1,5.23K,C227977
R425,0603,1,30.1K,C137745
R428,0603,1,3.16K,C185333
U101,SO-8_3.9x4.9mm_P1.27mm,1,MAX706RESA,C28380
U102,TQFP-64_10x10mm_P0.5mm,1,ATSAMD51J20A-AU,C619371
U103,LGA-16_4.5x3.0mm_P0.5mm,1,BMI088,
"U301, U302",UPDFN-8_8.0x6.0mm_P1.27mm,2,Mem_MT29F4G01ABAFDWB,C2909506
U401,SOT-223-6,1,TPS7A4501DCQT,C2869558
U402,QFN-16-1EP_3x3mm_P0.5mm_EP1.9x1.9mm_ThermalVias,1,LTC4121,C687336
U403,HTSSOP-14-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask3x3.1mm,1,TPS54226PWPRPWP14_2P31X2P46-L,C72066
U404,MSOP-10_3x3mm_P0.5mm,1,ADM1176-1ARMZ-R7,C657860
U405,QFN50P400X400X100-25N-D,1,BQ25886RGER,C2765094
U501,RELAY_PE014006_REV-SSE,1,PE014006,
U601,RFM95PW,1,RFM98PW,
U602,S1216_24PIN_PACKAGE,1,S1216V8,
U603,DQ1225-12-1EP_3.0x3.0mm_P0.51mm,1,GP2S1+,C879828
Y101,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768kHz,C32346
