Designator,Mid X,Mid Y,Rotation,Layer
C101,142.4,-90.325,90.0,top
C102,145.2,-90.325,90.0,top
C103,180.75,-90.3,180.0,top
C104,145.475,-115.5,0.0,top
C105,157.6,-84.725,270.0,top
C106,140.025,-101.1,180.0,top
C107,154.8,-91.075,90.0,top
C108,157.6,-91.125,270.0,top
C109,160.825,-101.1,180.0,top
C110,149.2,-84.7,90.0,top
C111,160.825,-103.9,180.0,top
C112,159.2,-118.7,270.0,top
C113,128.425,-81.5,180.0,top
C114,139.6,-79.9,0.0,top
C115,139.625,-82.7,0.0,top
C116,128.0,-89.9,0.0,top
C117,128.425,-84.3,180.0,top
C118,149.2,-112.7,0.0,top
C119,160.825,-106.7,0.0,top
C120,152.0,-91.1,90.0,top
C201,128.425,-75.9,0.0,top
C202,124.5,-70.15,90.0,top
C203,112.425,-105.9,180.0,top
C204,135.75,-70.1,270.0,top
C301,171.6,-61.1,0.0,top
C302,154.0,-81.5,180.0,top
C303,180.85,-76.3,180.0,top
C304,177.2,-90.3,180.0,top
C305,173.625,-90.3,180.0,top
C401,123.975,-103.9,0.0,top
C402,128.1,-101.1,0.0,top
C403,117.475,-117.5,180.0,top
C404,128.825,-122.7,0.0,top
C405,128.825,-133.9,0.0,top
C406,117.475,-122.3,180.0,top
C407,124.825,-122.7,180.0,top
C408,136.4,-137.125,270.0,top
C409,132.8,-133.9,180.0,top
C410,128.0,-103.9,0.0,top
C411,128.825,-128.3,0.0,top
C412,124.0,-92.7,0.0,top
C413,112.025,-124.7,0.0,top
C414,114.0,-136.7,90.0,top
C415,179.625,-61.1,0.0,top
C416,183.225,-73.1,0.0,top
C417,183.225,-61.1,180.0,top
C418,183.225,-70.7,180.0,top
C419,186.825,-65.1,180.0,top
C420,186.825,-67.9,180.0,top
C421,186.825,-70.7,180.0,top
C601,168.4,-114.325,270.0,top
D101,190.0,-87.55,0.0,top
D102,156.8,-114.0325,90.0,top
D402,192.0,-93.1,180.0,top
