Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12",0603,2,3.3nF,C1613
"C10, C2, C28, C46, C49, C50, C6, C61, C65",0603,9,4.7uF,C19666
"C11, C17, C21, C29, C31, C33, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C47, C48, C52, C54, C59, C60, C9",0603,23,0.1uF,C1591
"C13, C22, C3, C30",0603,4,10nF,C1589
"C14, C16, C34, C51, C55, C62, C7",0603,7,1uF,C59782
"C15, C23",0603,2,10uF35V,C194427
"C18, C19, C35, C4, C56, C67, C68",0603,7,22uF,C2762594
"C20, C24, C25",0603,3,15pF,C107037
"C26, C8",0603,2,2.2uF,C23630
"C27, C5",0603,2,22nF,C21122
C32,0805,1,47uF,C124129
"C53, C57, C58, C64, C66",0603,5,10uF,C344022
C63,0603,1,47nF,C1622
D1,D_SOD-323,1,BAT20JFILM,C155590
D2,0805,1,RED,C84256
D3,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B-B/W,C2874885
D4,0805,1,GREEN,C2297
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965_Pad,4,MountingHole_Pad,
J1,PinHeader_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,
J2,PinHeader_1x02_P2.00mm_Vertical,1,Conn_01x02,
J3,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
J301,MMCX-6_UMPT-06-01-L-RA-WT-TR_P2.0mm,1,Inhibit Switches,
J302,Harwin_G125-FV104F3-02AB000P_P1.25mm_Vertical,1,Battery Pack,
J4,PinHeader_1x02_P2.00mm_Vertical,1,Conn_01x02,
J5,SAMTEC_MMCXV-J-P-HF-ST-EM1,1,GPS2,
J6,SAMTEC_MMCXV-J-P-HF-ST-EM1,1,GPS1,
J7,SAMTEC_MMCXV-J-P-HF-ST-EM1,1,RADIO,
J8,PinHeader_1x06_P2.54mm_Horizontal,1,Conn_01x06,
J9,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0,C2988369
JP300,CONN_22-11-2032_MOL,1,VBURN1,
JP301,CONN_22-11-2032_MOL,1,VBURN2,
JP302,CONN_22-11-2032_MOL,1,VBURN3,
"JP303, JP304, JP305",CONN_22-11-2032_MOL,3,VS,
"JP306, JP307, JP308",CONN_22-11-2032_MOL,3,VS2,
"L1, L3",TDK VLCF5020T-330MR62-1,2,33uH,C2043695
"L2, L5",L_TDK_1008_2.5x2.0mm,2,3.3uH,C404805
L4,L_pol_2016,1,3.3uH,C42411119
Q1,SOIC-8_3.9x4.9mm_P1.27mm,1,IRF7306,C537809 
"Q10, Q2, Q4, Q6",SOT-363_SC-70-6,4,"BSS138PS,115",C193381
"Q11, Q3, Q5, Q7, Q8, Q9",SOT-363_SC-70-6,6,MBT2222ADW1T1,C157366
"Q12, Q13, Q21",SOT-23,3,PMBT2222A,C23869 
"Q14, Q16, Q19, Q20, Q22",SOIC-8_3.9x4.9mm_P1.27mm,5,IRF9393,C520642
"Q15, Q17, Q18",SOT-23,3,IRLML2803,C2590
"R1, R106, R107, R2",0603,4,DNI,
"R10, R33, R53, R7",0603,4,680,C112310
"R100, R105, R11, R13, R14, R16, R25, R26, R27, R35, R42, R46, R52, R64, R66, R67, R72, R78, R8, R82, R84, R91, R92, R93",0603,24,10k,C191124
"R101, R104",0603,2,5.1k,C105580
"R102, R103, R54, R65, R74",0603,5,27,C137753
"R12, R31",0603,2,47,C114623
"R15, R22, R23, R47, R50, R6, R75, R80, R81, R88, R9",0603,11,100K,C5369222
"R17, R18",0603,2,34.8k,
"R19, R43",0603,2,121K,C861095
"R20, R60",0603,2,2.1M,C2085910
"R21, R51",0603,2,47k,C105579
"R24, R32, R41, R59",0603,4,200K,C118142
"R28, R34",0603,2,787K,C246008
"R29, R36",0603,2,845K,C416579
R3,2512,1,0.1,C165698
"R30, R37, R4",0603,3,220k,C123420
"R38, R44, R45, R5, R55, R56, R83, R98",0603,8,1k,C844746
R39,0603,1,73.2K,C843966
R40,0603,1,22.1K,C137768
R48,0603,1,110K,C137807
"R49, R57, R58, R63, R68, R69, R71, R73, R77, R87, R89, R90, R96",0603,13,4.7k,C840629
R61,0603,1,316K,C25814
"R62, R70",0603,2,3.83k,C482840
R76,0603,1,470,C114669
R79,0603,1,33,C108661
R85,0603,1,0,C100044
R86,0603,1,150,C336847
R94,0603,1,3.3K,C108078
R95,0603,1,5.23K,C227977
R97,0603,1,1.5k,C193392
R99,0603,1,30.1K,C137745
TP1,TestPoint_Keystone_5010-5014_Multipurpose,1,GND,
TP2,TestPoint_Keystone_5010-5014_Multipurpose,1,PACKNEG,
U1,MSOP-10_3x3mm_P0.5mm,1,ADM1176-1ARMZ-R7,C657860
U10,DQ1225-12-1EP_3.0x3.0mm_P0.51mm,1,GP2S1+,C879828
U11,QFN50P400X400X100-25N-D,1,BQ25886RGER,C2765094
U2,HTSSOP-14-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask3x3.1mm,1,TPS54226PWPRPWP14_2P31X2P46-L,C72066
"U3, U5",QFN-16-1EP_3x3mm_P0.5mm_EP1.9x1.9mm_ThermalVias,2,LTC4121,C687336
U301,RFM95PW,1,RFM98PW,
U302,S1216_24PIN_PACKAGE,1,S1216V8,
U4,LGA-16_4.5x3.0mm_P0.5mm,1,BMI088,C194919
U6,RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_80QFN,C9900138392
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,VTI7064MSME, C139966
U8,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm,1,W25Q128JVPIQ,C190862
U9,SOT-223-6,1,TPS7A4501DCQT,C2869558
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24_Small,C20625731
