Designator,Mid X,Mid Y,Rotation,Layer
C1,112.61,-135.11,90.0,top
C10,116.4,-108.9,180.0,top
C11,123.2,-113.5,270.0,top
C12,121.825,-102.7,180.0,top
C13,124.5,-70.1,90.0,top
C14,125.2,-102.7,180.0,top
C15,127.9,-133.9,90.0,top
C16,129.2,-120.4,270.0,top
C17,132.2,-117.0,270.0,top
C18,129.2,-113.325,270.0,top
C19,128.6,-105.5,180.0,top
C2,113.2,-108.9,0.0,top
C20,128.6,-99.9,180.0,top
C21,128.6,-81.5,180.0,top
C22,128.6,-75.9,0.0,top
C23,133.6,-133.9,90.0,top
C24,131.675,-92.9,0.0,top
C25,131.7,-89.8,180.0,top
C26,136.4,-137.625,270.0,top
C27,136.39,-133.9,270.0,top
C28,137.2,-89.3,180.0,top
C29,137.175,-87.8,180.0,top
C3,112.375,-103.2,180.0,top
C30,135.75,-70.1,270.0,top
C31,138.2,-123.9,270.0,top
C32,138.1,-117.0,90.0,top
C33,137.15,-85.8,180.0,top
C34,137.9,-77.4,90.0,top
C35,141.175,-130.575,90.0,top
C36,168.7,-93.2,90.0,top
C37,140.5,-95.5,270.0,top
C38,140.7,-77.4,90.0,top
C39,143.4,-95.525,270.0,top
C4,115.7,-137.575,270.0,top
C40,142.6,-80.9,90.0,top
C41,145.05,-95.525,270.0,top
C42,144.65,-80.9,90.0,top
C43,147.95,-95.5,270.0,top
C44,146.6,-80.9,90.0,top
C45,149.5,-95.5,270.0,top
C46,151.775,-94.2,180.0,top
C47,151.7,-88.95,0.0,top
C48,150.85,-84.95,90.0,top
C49,150.9,-91.6,270.0,top
C5,115.6,-126.3,0.0,top
C50,152.4,-91.6,270.0,top
C51,154.3,-81.5,90.0,top
C52,171.5,-114.35,270.0,top
C53,169.975,-98.43,180.0,top
C54,167.8,-87.7,270.0,top
C55,173.75,-98.48,0.0,top
C56,173.61,-89.11,180.0,top
C57,175.775,-117.05,270.0,top
C58,175.775,-113.95,90.0,top
C59,177.185,-89.11,180.0,top
C6,113.2,-107.3,180.0,top
C60,180.735,-89.11,180.0,top
C61,180.835,-75.11,180.0,top
C62,179.625,-61.1,0.0,top
C63,183.18,-70.79,180.0,top
C64,183.225,-61.1,180.0,top
C65,183.2,-72.34,0.0,top
C66,186.825,-70.7,180.0,top
C67,186.825,-67.9,180.0,top
C68,186.825,-65.1,180.0,top
C7,116.4,-107.3,180.0,top
